Fecha_Unnamed: 0_level_1,Hora_Unnamed: 1_level_1,Responsable_Unnamed: 2_level_1,Calidad Gas BIO 040_CO2,Columna1_CH4,Columna2_O2,Columna3_H2S,Calidad Gas BIO 050_CO2,Columna4_CH4,Columna5_O2,Columna6_H2S,Calidad de biogás ingreso al CHP_CO2,Columna7_CH4,Columna8_O2,Columna9_H2S,"Datos de consumo del motor_Caudal másico
 SCADA (kg/h)","Columna10_Caudal CHP
(l/s)","Columna11_Potencia 
exacta (kW)","Eficiencia y biogás_Consumo
 (m3/MW)","Columna12_Biogás generado
 (m3/d)","Columna13_Biogás 
generado (m3/h)","Columna14_LHV
(kWh/m3)",Columna15_Energía entregada a CHP (kW),"Columna16_η
eléctrico (%)",Columna17_Unnamed: 24_level_1,Columna18_Unnamed: 25_level_1,Columna19_Unnamed: 26_level_1
,,,040AIT01,040AIT02,040AIT03,040AIT04,050AIT01,050AIT02,050AIT03,050AIT04,080AIT01,080AIT02,080AIT03,080AIT04,090FIT01,,,,,,,,,,,
2022-06-30,,,39.18,59.73,0.03,2008,5.44,9.07,13.68,27,,,,,,,,,,,,,,,Cristián,
2022-07-01,,,,,,,5,10,14,3,,,,,,,,,,,,,,,Agustín,
2022-07-02,,,,,,,6,10,13,12,,,,,,,,,,,,,,,Leonardo,
2022-07-03,,,,,,,6,11,13,8,,,,,,,,,,,,,,,Gustavo,
2022-07-04,,,,,,,6,11,13,6,,,,,,,,,,,,,,,,
2022-07-05,,,,,,,6,12,13,8,,,,,,,,,,,,,,,,
2022-07-06,,,36.23,57.87,0.44,12,5.92,12.6,12.5,13,,,,,,,,,,,,,,,,
2022-07-07,,,39.16,57.59,0.51,958,6.14,13.77,11.96,16,,,,,,,,,,,,,,,,
2022-07-08,,,40.39,57.5,0.53,913.27,19.67,33.03,7.09,248.91,,,,,,,,,,,,,,,,
2022-07-09,,,41.23,56.37,0.29,11,28.64,45.38,3.72,6,,,,,,,,,,,,,,,,
2022-07-10,,,41.28,55.74,0.33,58,30.21,48.88,2.89,71,,,,,,,,,,,,,,,,
2022-07-11,,,44,54,0.5,414,34,53,1.74,113,,,,,,,,,,,,,,,,
2022-07-12,,,46.16,53.95,0.35,923,35.35,53.45,1.62,138,,,,,,,,,,,,,,,,
2022-07-13,,,44,52,0.6,420,38,54,0.9,303,,,,,,,,,,,,,,,,
2022-07-14,,,43.71,55,0.5,252,38,55,0.88,348,,,,,,,,,,,,,,,,
2022-07-15,,,43.12,55.6,0.4,835,38.65,55.94,0.78,408,,,,,,,,,,,,,,,,
2022-07-16,,,41,57,0.3,393,38,58,0.49,386,,,,,,,,,,,,,,,,
2022-07-17,,,39,58,0.4,156,36,59,0.52,258,,,,,,,,,,,,,,,,
2022-07-18,,,39.64,55.45,0.4,377,35.07,59.22,0.5,255,,,,,,,,,,,,,,,,
2022-07-19,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-07-20,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-07-21,,,41.93,53.72,0.23,82,39.47,54.82,0.52,115,,,,,,,,,,,,,,,,
2022-07-22,,,"40 ,62","54 ,95","0 ,30",532,"40 ,09","54  ,08","0 ,40",298,,,,,,,,,,,,,,,,
2022-07-23,,,44.34,54.29,0.22,743,41.8,54.61,0.56,647,,,,,,,,,,,,,,,,
2022-07-24,,,42.36,53.44,0.21,144,37.71,52.98,1.28,144,,,,,,,,,,,,,,,,
2022-07-25,,,46.27,52.33,0.22,110,39.89,51.09,1.49,336,,,,,,,,,,,,,,,,
2022-07-26,,,41.5,56.03,0.25,759,42.17,54.13,49,826,,,,,,,,,,,,,,,,
2022-07-27,,,42.27,57.79,0.28,617,41.92,55.34,0.45,849,,,,,,,,,,,,,,,,
2022-07-28,,,42.98,54.28,0.32,324,39.6,52.76,1.21,22,,,,,,,,,,,,,,,,
2022-07-29,,,41.1,55.23,0.4,191,41.09,54.57,0.53,332,,,,,,,,,,,,,,,,
2022-07-30,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-07-31,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-08-01,,,41.92,54.91,0.49,379,41.76,54.88,0.56,241,,,,,,,,,,,,,,,,
2022-08-02,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-08-03,,,45.68,51.94,0.45,384,44.56,52.45,0.5,323,,,,,,,,,,,,,,,,
2022-08-04,,,45.62,51.77,0.42,333,44.47,51.69,0.58,259,,,,,,,,,,,,,,,,
2022-08-05,,,45.63,52.36,0.4,301,43.84,50.68,1.02,103,,,,,,,,,,,,,,,,
2022-08-06,,,46.11,50.03,0.34,38,44.63,51.6,0.44,105,,,,,,,,,,,,,,,,
2022-08-07,,,45.6,52.69,0.36,456,45.84,51.65,0.51,430,,,,,,,,,,,,,,,,
2022-08-08,,,42.61,55.4,0.34,371,42.47,54.16,0.56,577,,,,,,,,,,,,,,,,
2022-08-09,,,43.7,55.27,0.37,363,43.82,54.08,0.61,450,,,,,,,,,,,,,,,,
2022-08-10,,,42.38,54.52,0.8,172,0.13,0.12,20.89,3,,,,,,,,,,,,,,,,
2022-08-11,,,42.81,53.53,0.43,271,22.06,26.91,10,24,,,,,,,,,,,,,,,,
2022-08-12,,,45.08,52.96,0.31,28,25.66,30.22,8.5,12,,,,,,,,,,,,,,,,
2022-08-13,,,41.63,54.2,0.45,13,28.77,34.25,6.6,13,,,,,,,,,,,,,,,,
2022-08-14,,,40,54.14,0.42,11,31.32,37.51,5.38,36,,,,,,,,,,,,,,,,
2022-08-15,,,42.65,52.98,0.34,26,33.45,39.99,4.36,55,,,,,,,,,,,,,,,,
2022-08-16,,,41.52,54.17,0.38,26,34.65,42.3,3.64,53,,,,,,,,,,,,,,,,
2022-08-17,,,42.11,53.76,0.42,32,36.7,44.01,2.86,270,,,,,,,,,,,,,,,,
2022-08-18,,,42.28,54.09,0.47,16,41.8,53.65,0.51,18,,,,,,,,,,,,,,,,
2022-08-19,,,39.18,48.64,1.53,266,39.19,48.49,1.56,283,,,,,,,,,,,,,,,,
2022-08-20,,,43.29,51.87,0.44,26,39.99,49.96,1.17,180,,,,,,,,,,,,,,,,
2022-08-21,,,47.04,49.48,0.32,28,47.04,49.37,0.33,27,,,,,,,,,,,,,,,,
2022-08-22,,,47.08,48.98,0.36,35,47.01,49.03,0.35,38,,,,,,,,,,,,,,,,
2022-08-23,,,48.38,49.18,0.4,50,48.34,49.22,0.37,82,,,,,,,,,,,,,,,,
2022-08-24,,,46.68,51.03,0.15,55,46.42,51.14,0.15,64,,,,,,,,,,,,,,,,
2022-08-25,,,42.46,50.35,0.36,153,41.04,48.04,0.87,183,,,,,,,,,,,,,,,,
2022-08-26,,,46.15,51.19,0.42,170,45.03,49.73,0.71,221,,,,,,,,,,,,,,,,
2022-08-27,,,44.5,52.38,0.31,163,44.02,52.38,0.31,217,,,,,,,,,,,,,,,,
2022-08-28,,,47.57,52.03,0.35,155,47.75,51.92,0.37,290,,,,,,,,,,,,,,,,
2022-08-29,,,48.91,51.32,0.28,169,46.61,50.77,0.68,179,,,,,,,,,,,,,,,,
2022-08-30,,,47.94,51.25,0.26,144,46.76,50.82,0.52,177,,,,,,,,,,,,,,,,
2022-08-31,,,47.58,51.72,0.28,113,46.9,50.67,0.57,148,,,,,,,,,,,,,,,,
2022-09-01,,,46.9,51.7,0.25,106,45.99,50.69,0.56,146,,,,,,,,,,,,,,,,
2022-09-02,,,49.12,50.75,0.3,44,47.07,50.32,0.68,45,,,,,,,,,,,,,,,,
2022-09-03,,,47.6,52.05,0.31,97,47.26,50.69,0.56,95,,,,,,,,,,,,,,,,
,,,48.09,51.43,0.3,74,46.87,50.81,0.5,189,,,,,,,,,,,,,,,,
2022-09-05,,,48.09,51.67,0.27,65,46.92,50.8,0.59,181,,,,,,,,,,,,,,,,
2022-09-06,,,44.32,52.29,0.15,55,43.97,51.29,0.49,159,,,,,,,,,,,,,,,,
2022-09-07,,,43.3,51.48,0.29,46,43.2,50.97,0.5,158,,,,,,,,,,,,,,,,
2022-09-08,,,77.03,118.51,35.55,2370,47.88,51.54,0.39,150,,,,,,,,,,,,,,,,
2022-09-09,,,41.71,51.1,0.79,38,41.93,51.7,0.48,129,,,,,,,,,,,,,,,,
2022-09-10,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-09-11,,,41.71,51.1,0.79,38,41.93,51.7,0.48,129,,,,,,,,,,,,,,,,
2022-09-12,,,41.71,51.1,0.79,38,41.93,51.7,0.48,129,,,,,,,,,,,,,,,,
2022-09-13,,,,,,,,,,,,,,,,,,,Leonardo,,,,,,,
2022-09-14,,,44.6,51.23,0.23,44,45.51,51.94,0.2,40,,,,,,,,,Agustín,,,,,,,
2022-09-15,,,47.99,51.11,0.31,22,53.66,44.8,0.34,107,,,,,,,,,Cristián,,,,,,,
2022-09-16,,,44.29,50.31,0.41,32,41.58,53.25,0.44,29,,,,,,,,,Jason,,,,,,,
2022-09-17,,,45.9,50.33,0.27,41,42.55,52.64,0.42,78,,,,,,,,,,,,,,,,
2022-09-18,,,46.79,49.89,0.39,30,45.9,49.78,0.47,38,,,,,,,,,,,,,,,,
2022-09-19,,,45.99,49.07,0.97,36,48.36,49.3,0.39,45,,,,,,,,,,,,,,,,
2022-09-20,,,47.58,49.86,0.57,63,48.34,48.18,0.42,75,,,,,,,,,,,,,,,,
2022-09-21,,,48.01,50.02,0.64,46,47.4,49.71,0.61,86,,,,,,,,,,,,,,,,
2022-09-22,,,47.3,51.03,0.37,39,46.05,49.06,0.58,77,,,,,,,,,,,,,,,,
2022-09-23,,,47.22,51.24,0.38,36,45.18,49.87,0.71,64,,,,,,,,,,,,,,,,
2022-09-24,,,47.71,50.24,0.56,29,44.47,48.29,0.83,55,,,,,,,,,,,,,,,,
2022-09-25,,,47.11,50.4,0.5,27,45.6,49.35,0.59,56,,,,,,,,,,,,,,,,
2022-09-26,,,46.61,50.56,0.49,35,46.35,50.04,0.43,57,,,,,,,,,,,,,,,,
2022-09-27,,,45.72,51.58,0.36,37,45.02,47.84,0.97,31,,,,,,,,,,,,,,,,
2022-09-28,,,46.81,51.14,0.39,32,46.24,49.29,0.6,54,,,,,,,,,,,,,,,,
2022-09-29,,,47.07,50.85,0.38,33,46.76,47.93,0.73,43,,,,,,,,,,,,,,,,
2022-09-30,,,47.16,50.66,0.53,26,46.26,50.61,0.47,44,,,,,,,,,,,,,,,,
2022-10-01,,,46.34,51.27,0.48,31,45.87,49.94,0.52,41,,,,,,,,,,,,,,,,
2022-10-02,,,46.94,50.97,0.39,27,45.21,50.11,0.57,38,,,,,,,,,,,,,,,,
2022-10-03,,,46.9,50.97,0.39,33,47,49.9,0.47,44,,,,,,,,,,,,,,,,
2022-10-04,,,46.93,51.25,0.4,39,48.15,49.9,0.34,53,,,,,,,,,,,,,,,,
2022-10-05,,,47.3,50.59,0.47,25,46.66,50.44,0.32,21,,,,,,,,,,,,,,,,
2022-10-06,,,46.71,51.65,0.19,34,45.35,49.83,0.35,6,,,,,,,,,,,,,,,,
2022-10-07,,,47.29,51.66,0.21,23,45.61,49.31,0.29,5,,,,,,,,,,,,,,,,
2022-10-08,,,47.39,51.83,0.13,31,45.36,48.85,0.3,5,,,,,,,,,,,,,,,,
2022-10-09,,,48.26,52.86,0.21,34,48.34,50.3,0.32,4,,,,,,,,,,,,,,,,
2022-10-10,,,48.08,51.27,0.14,20,46.07,49.48,0.2,0.5,,,,,,,,,,,,,,,,
2022-10-11,,,47.75,51.86,0.18,41,45.53,48.95,0.34,4,,,,,,,,,,,,,,,,
2022-10-12,,,47.17,52.05,0.13,41,45.78,49.18,24,4,,,,,,,,,,,,,,,,
2022-10-13,,,48.53,52.39,0.17,49,46.46,49.13,0.35,15,,,,,,,,,,,,,,,,
2022-10-14,,,47.97,51.86,17,18,45.52,49.65,0.38,5,,,,,,,,,,,,,,,,
2022-10-15,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-10-16,,,47.61,52.55,0.2,38,46.45,50.48,0.41,4,,,,,,,,,,,,,,,,
2022-10-17,,,47.27,52.37,0.08,31,45.89,51.09,0.28,6,,,,,,,,,,,,,,,,
2022-10-18,,,47.83,52.18,0.11,43,45.92,51.29,0.42,6,,,,,,,,,,,,,,,,
2022-10-19,,,47.81,51.79,0.14,51,46,51.08,0.39,7,,,,,,,,,,,,,,,,
2022-10-20,,,46.2,53.05,0.15,56,46.08,51.69,0.31,9,,,,,,,,,,,,,,,,
2022-10-21,,,47.3,52.62,0.12,,46.17,51.15,0.44,9,,,,,,,,,,,,,,,,
2022-10-22,,,47.62,53.21,0.16,61,46.38,51.42,0.55,8,,,,,,,,,,,,,,,,
2022-10-23,,,46.04,53.48,0.07,68,45.14,51.42,0.4,8,,,,,,,,,,,,,,,,
2022-10-24,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-10-25,,,45.75,52.45,0.12,60,44.12,50.94,0.5,8,,,,,,,,,,,,,,,,
2022-10-26,,,"46, 78",52.61,0.13,52,45.15,50.55,0.53,5,,,,,,,,,,,,,,,,
2022-10-27,,,46.17,53.27,0.14,79,45.38,50.99,0.43,4,,,,,,,,,,,,,,,,
2022-10-28,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-10-29,,,42.89,51.89,0.16,36,41.66,50.86,0.48,6,,,,,,,,,,,,,,,,
2022-10-30,,,45.15,54.94,18,32,44.23,51.22,0.52,27,,,,,,,,,,,,,,,,
2022-10-31,,,44.06,52.54,0.22,29,42.76,51.83,0.39,8,,,,,,,,,,,,,,,,
2022-11-01,,,42.87,51.93,0.19,25,41.56,50.18,0.56,7,,,,,,,,,,,,,,,,
2022-11-02,,,43.73,52.13,0.13,23,42.98,50.84,0.41,8,,,,,,,,,,,,,,,,
2022-11-03,,,44.12,52.06,0.12,19,43.21,49.96,0.6,8,,,,,,,,,,,,,,,,
2022-11-04,,,42.52,51.94,0.15,30,42.74,50.5,0.46,9,,,,,,,,,,,,,,,,
2022-11-05,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-06,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-07,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-08,,,46.54,52.59,0.16,30,45.83,51.78,0.377,15,,,,,,,,,,,,,,,,
2022-11-09,,,45.85,52.59,0.18,24,45.01,51.27,0.51,13,,,,,,,,,,,,,,,,
2022-11-10,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-11,,,45.56,52.74,0.15,20,44.86,51.64,0.37,10,,,,,,,,,,,,,,,,
2022-11-12,,,46.51,52.44,0.13,30,44.84,51.15,0.62,16,,,,,,,,,,,,,,,,
2022-11-13,,,45.97,52.41,0.16,18,44.58,51.1,0.54,12,,,,,,,,,,,,,,,,
2022-11-14,,,46.41,53.07,0.17,37,45.62,51.52,0.54,16,,,,,,,,,,,,,,,,
2022-11-15,,,46.43,52.26,0.24,21,45.52,52.02,0.32,28,,,,,,,,,,,,,,,,
2022-11-16,,,45.44,52.09,0.28,24,44.15,51.31,0.57,11,,,,,,,,,,,,,,,,
2022-11-17,,,44.25,52.18,0.2,24,43.11,51.19,0.56,15,,,,,,,,,,,,,,,,
2022-11-18,,,45.66,52.48,0.19,24,44.34,51.96,0.44,19,,,,,,,,,,,,,,,,
2022-11-19,,,45.69,52.59,0.16,25,44.16,51.87,0.55,33,,,,,,,,,,,,,,,,
2022-11-20,,,46.17,52.93,0.13,31,44.46,52.14,0.51,28,,,,,,,,,,,,,,,,
2022-11-21,,,46.67,52.97,0.15,23,45.19,52.92,0.37,47,,,,,,,,,,,,,,,,
2022-11-22,,,46.43,52.26,0.24,21,45.52,52.02,0.32,28,,,,,,,,,,,,,,,,
2022-11-23,,,45.88,52.71,0.22,35,44.75,52.12,0.51,29,,,,,,,,,,,,,,,,
2022-11-24,,,44.9,55.42,0.15,19,43.91,52.21,0.37,21,,,,,,,,,,,,,,,,
2022-11-25,,,46.26,52.16,0.26,20,44.67,52.15,0.52,24,,,,,,,,,,,,,,,,
2022-11-26,,,45.16,51.86,"0,20+",15,43.22,51.45,0.57,17,,,,,,,,,,,,,,,,
2022-11-27,,,44.91,52.41,0.22,41,43.87,51.45,0.45,15,,,,,,,,,,,,,,,,
2022-11-28,,,43.04,51.09,0.11,22,41.44,51.29,0.56,17,,,,,,,,,,,,,,,,
2022-11-29,,,44.83,51.69,0.16,18,43.32,51.67,0.39,13,,,,,,,,,,,,,,,,
2022-11-30,,,46,52.41,0.15,18,44.44,51.44,0.54,17,,,,,,,,,,,,,,,,
2022-12-01,,,46.19,53.33,0.19,17,44.86,52.01,39,21,,,,,,,,,,,,,,,,
2022-12-02,,,45.55,52.51,0.2,26,43.8,51.81,0.57,23,,,,,,,,,,,,,,,,
2022-12-03,,,46.06,52.29,0.16,20,43.96,52.14,0.49,18,,,,,,,,,,,,,,,,
2022-12-04,,,45.02,52.07,0.17,19,43.74,51.75,0.46,18,,,,,,,,,,,,,,,,
2022-12-05,,,45.11,51.96,0.15,18,43.14,51.19,0.19,16,,,,,,,,,,,,,,,,
2022-12-06,,,44.81,51.87,0.13,17,42.7,50.98,0.64,15,,,,,,,,,,,,,,,,
2022-12-07,,,44.7,52.18,0.12,18,42.83,51.22,0.59,10,,,,,,,,,,,,,,,,
2022-12-08,,,44.69,51.74,0.07,13,43,51.61,0.5,17,,,,,,,,,,,,,,,,
2022-12-09,,,45.24,52.06,0.08,13,43.35,51.98,0.42,17,,,,,,,,,,,,,,,,
2022-12-10,,,45.29,52.41,0.1,17,43.61,51.66,0.56,16,,,,,,,,,,,,,,,,
2022-12-11,,,45.64,51.51,0.06,15,42.82,51.66,0.51,19,,,,,,,,,,,,,,,,
2022-12-12,,,45.41,51.92,0.06,17,44.34,51.93,0.39,16,,,,,,,,,,,,,,,,
2022-12-13,,,47.09,52,0.04,17,44.74,51.83,0.45,11,,,,,,,,,,,,,,,,
2022-12-14,,,46.28,52.42,0.06,18,43.77,51.05,0.54,8,,,,,,,,,,,,,,,,
2022-12-15,,,45.6,51.5,0.06,17,43.4,51.22,0.41,9,,,,,,,,,,,,,,,,
2022-12-16,,,47,51.9,0.05,11,44.26,50.86,0.5,5,,,,,,,,,,,,,,,,
2022-12-17,,,46.26,52.65,0.12,28,44.75,51.31,0.33,5,,,,,,,,,,,,,,,,
2022-12-18,,,46.25,52.03,0.07,24,43.73,50.72,0.5,5,,,,,,,,,,,,,,,,
2022-12-19,,,45.81,52.75,0.06,24,43.99,51,0.42,4,,,,,,,,,,,,,,,,
2022-12-20,,,45.34,52.57,0.04,23,42.97,50.57,0.49,5,,,,,,,,,,,,,,,,
2022-12-21,,,44.74,52.22,0.08,29,42.54,50.3,38,4,,,,,,,,,,,,,,,,
2022-12-22,,,45.2,52.36,0.05,49,42.93,50.39,0.39,5,,,,,,,,,,,,,,,,
2022-12-23,,,45.37,52.41,0.06,36,42.8,50.14,0.38,4,,,,,,,,,,,,,,,,
2022-12-24,,,46.62,52.83,0.09,54,44.1,50.29,0.4,4,,,,,,,,,,,,,,,,
2022-12-25,,,46.99,52.59,0.09,34,43.89,50.18,0.34,4,,,,,,,,,,,,,,,,
2022-12-26,,,45.16,53.2,0.14,45,42.61,48.89,0.5,7,,,,,,,,,,,,,,,,
2022-12-27,,,46.1,52.29,0.09,46,43.93,51.31,0.39,34,,,,,,,,,,,,,,,,
2022-12-28,,,45.81,52.41,0.07,25,43.78,51.42,0.47,31,,,,,,,,,,,,,,,,
2022-12-29,,,45.79,52.59,0.07,19,43.84,51.88,0.43,42,,,,,,,,,,,,,,,,
2022-12-30,,,44.58,52.43,0.29,31,43.49,51.67,0.63,37,,,,,,,,,,,,,,,,
2022-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-01,,,44.76,52.79,0.09,21,43.15,51.62,0.43,42,,,,,,,,,,,,,,,,
2023-01-02,,,46.43,52.5,0.05,18,43.97,52.05,0.53,71,,,,,,,,,,,,,,,,
2023-01-03,,,44.6,52.89,0.13,25,43.52,52.27,0.41,56,,,,,,,,,,,,,,,,
2023-01-04,,,45.71,52.26,0.06,26,43.76,52.3,0.35,29,,,,,,,,,,,,,,,,
2023-01-05,,,45.32,52.13,0.07,32,43.5,52.42,0.36,32,,,,,,,,,,,,,,,,
2023-01-06,,,45.01,52.22,0.18,23,43.94,52.63,0.34,26,,,,,,,,,,,,,,,,
2023-01-07,,,44.67,52.6,0.12,29,43.25,52.07,0.5,25,,,,,,,,,,,,,,,,
2023-01-08,,,44.67,52.14,0.07,26,42.65,51.88,0.48,19,,,,,,,,,,,,,,,,
2023-01-09,,,44.63,52.61,0.07,26,42.96,51.78,0.48,20,,,,,,,,,,,,,,,,
2023-01-10,,,44.81,52.78,0.07,16,43.47,51.76,0.4,23,,,,,,,,,,,,,,,,
2023-01-11,,,45.04,52.92,0.09,19,43.77,51.83,0.49,16,,,,,,,,,,,,,,,,
2023-01-12,,,45.47,52.68,0.08,20,43.77,51.99,0.52,11,,,,,,,,,,,,,,,,
2023-01-13,,,46.16,52.64,0.11,28,44.57,51.93,0.47,12,,,,,,,,,,,,,,,,
2023-01-14,,,45.99,52.81,0.1,33,44.57,52,0.39,12,,,,,,,,,,,,,,,,
2023-01-15,,,44.77,52.89,0.09,34,43.57,51.66,0.39,10,,,,,,,,,,,,,,,,
2023-01-16,,,45.36,52.83,0.07,314,44.03,51.67,0.46,12,,,,,,,,,,,,,,,,
2023-01-17,,,44.35,52.72,0.09,34,43.45,51.7,0.37,11,,,,,,,,,,,,,,,,
2023-01-18,,,45.48,52.55,0.11,34,43.69,51.56,0.54,10,,,,,,,,,,,,,,,,
2023-01-19,,,45.07,52.36,0.1,32,43.36,51.6,0.48,9,,,,,,,,,,,,,,,,
2023-01-20,,,43.76,52.74,0.09,28,42.57,51.08,0.45,13,,,,,,,,,,,,,,,,
2023-01-21,,,44.63,53.1,0.1,51,43.69,51.65,0.6,21,,,,,,,,,,,,,,,,
2023-01-22,,,44.7,52.25,0.09,34,43.43,51.89,0.36,15,,,,,,,,,,,,,,,,
2023-01-23,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-24,,,45.39,51.88,0.08,42,43.34,51.75,0.44,11,,,,,,,,,,,,,,,,
2023-01-25,,,45.98,51.63,0.07,48,43.91,51.95,0.3,12,,,,,,,,,,,,,,,,
2023-01-26,,,46.83,50.62,0.06,48,43.56,51.87,0.37,50,,,,,,,,,,,,,,,,
2023-01-27,,,46.95,51.06,0.09,49,43.17,51.6,0.47,37,,,,,,,,,,,,,,,,
2023-01-28,,,44.94,52.54,0.07,42,43.27,51.81,0.47,53,,,,,,,,,,,,,,,,
2023-01-29,,,44.4,52.63,0.1,42,42.86,52.14,0.47,52,,,,,,,,,,,,,,,,
2023-01-30,,,45.27,52.05,0.06,39,42.71,51.81,0.6,61,,,,,,,,,,,,,,,,
2023-01-31,,,46.32,51.27,0.06,42,43.25,52.15,0.52,85,,,,,,,,,,,,,,,,
2023-02-01,,,46.47,51.62,0.06,42,43.86,52.09,0.45,73,,,,,,,,,,,,,,,,
2023-02-02,,,45.84,52.04,0.08,50,43.3,52.58,0.45,166,,,,,,,,,,,,,,,,
2023-02-03,,,40.62,56.96,0.16,47,42.92,53.26,0.38,97,,,,,,,,,,,,,,,,
2023-02-04,,,45.81,50.54,0.08,49,40.93,52.75,0.42,86,,,,,,,,,,,,,,,,
2023-02-05,,,49.95,48.32,0.06,47,43.08,52.66,0.51,62,,,,,,,,,,,,,,,,
2023-02-06,,,50.7,47.85,0.05,38,43.3,52.74,0.47,70,,,,,,,,,,,,,,,,
2023-02-07,,,46.64,51.04,0.06,51,42.32,52.63,0.59,57,,,,,,,,,,,,,,,,
2023-02-08,,,44.09,53.8,0.08,83,41.3,54.01,0.41,69,,,,,,,,,,,,,,,,
2023-02-09,,,44.61,52.68,0.07,61,41.22,53.57,0.54,72,,,,,,,,,,,,,,,,
2023-02-10,,,45.75,51.59,0.06,63,41.4,53.98,0.42,80,,,,,,,,,,,,,,,,
2023-02-11,,,41.35,55.38,0.12,72,40.82,54.13,0.49,84,,,,,,,,,,,,,,,,
2023-02-12,,,45.53,50.82,0.08,44,40.99,53.8,0.42,76,,,,,,,,,,,,,,,,
2023-02-13,,,46.1,48.96,0.05,50,41.13,53.02,0.43,40,,,,,,,,,,,,,,,,
2023-02-14,,,47.22,50.63,0.09,0.66,42.1,53.51,0.47,55,,,,,,,,,,,,,,,,
2023-02-15,,,47.2,50.57,0.12,65,41.47,53.58,0.61,102,,,,,,,,,,,,,,,,
2023-02-16,,,46.78,49.8,0.13,43,40.72,54.67,0.32,80,,,,,,,,,,,,,,,,
2023-02-17,,,45.47,54.19,0.19,82,42.68,54.49,0.57,183,,,,,,,,,,,,,,,,
2023-02-18,,,49.54,50.11,0.21,60,42.91,54.73,0.46,216,,,,,,,,,,,,,,,,
2023-02-19,,,50.75,48.19,0.23,59,42.44,55.02,0.38,150,,,,,,,,,,,,,,,,
2023-02-20,,,52.4,46.51,0.22,46,40.93,55.7,0.51,100,,,,,,,,,,,,,,,,
2023-02-21,,,54.56,43.98,0.22,35,39.67,57.11,0.39,75,,,,,,,,,,,,,,,,
2023-02-22,,,48.17,48.33,0.37,46,42.48,52.63,0.57,67,,,,,,,,,,,,,,,,
2023-02-23,,,44.53,52.32,0.39,86,41.45,54.66,0.54,114,,,,,,,,,,,,,,,,
2023-02-24,,,39.63,56.98,0.39,71,40.72,55.26,0.45,32,,,,,,,,,,,,,,,,
2023-02-25,,,39.63,56.98,0.39,71,40.72,55.26,0.45,32,,,,,,,,,,,,,,,,
2023-02-26,,,31.42,66.87,0.39,52,36.83,61.13,0.41,43,,,,,,,,,,,,,,,,
2023-02-27,,,30.12,66.9,0.53,49,34.69,61.9,0.53,46,,,,,,,,,,,,,,,,
2023-02-28,,,39.46,57.8,0.36,33,37.09,59.85,0.39,29,,,,,,,,,,,,,,,,
2023-03-01,,,43.08,53.1,0.4,25,39.63,55.97,0.48,26,,,,,,,,,,,,,,,,
2023-03-02,,,42.24,49.57,0.35,22,44.38,52.56,0.49,23,,,,,,,,,,,,,,,,
2023-03-03,,,46.25,50.63,0.21,13,43.58,51.16,0.6,29,,,,,,,,,,,,,,,,
2023-03-04,,,45.27,51.81,0.16,16,43.62,52.85,0.38,22,,,,,,,,,,,,,,,,
2023-03-05,,,44.04,53.52,0.16,23,43.36,53.06,0.42,34,,,,,,,,,,,,,,,,
2023-03-06,,,43.54,53.62,0.2,32,42.61,53.82,0.38,27,,,,,,,,,,,,,,,,
2023-03-07,,,44.27,53.17,0.29,43,42.06,54.53,0.38,41,,,,,,,,,,,,,,,,
2023-03-08,,,45.11,52.28,0.26,31,41.79,53.28,0.66,34,,,,,,,,,,,,,,,,
2023-03-09,,,46.35,50.87,0.23,24,41.82,53.72,0.47,57,,,,,,,,,,,,,,,,
2023-03-10,,,45.15,50.9,0.23,26,41.56,53.58,0.39,34,,,,,,,,,,,,,,,,
2023-03-11,,,45.21,51,0.21,23,41.83,53.43,0.43,35,,,,,,,,,,,,,,,,
2023-03-12,,,44.8,51.65,0.19,22,41.37,52.9,0.58,33,,,,,,,,,,,,,,,,
2023-03-13,,,44.25,51.74,0.17,23,41.23,52.62,0.54,24,,,,,,,,,,,,,,,,
2023-03-14,,,45.31,51.9,0.17,28,42.3,53.07,0.44,48,,,,,,,,,,,,,,,,
2023-03-15,,,44.93,51.75,0.2,29,42.23,53.01,0.47,103,,,,,,,,,,,,,,,,
2023-03-16,,,45.02,51.64,0.24,24,42.83,53.39,0.49,45,,,,,,,,,,,,,,,,
2023-03-17,,,46.6,50.49,0.17,21,43.39,53.32,0.38,39,,,,,,,,,,,,,,,,
2023-03-18,,,47.34,51.2,0.26,19,43.56,52.75,0.35,35,,,,,,,,,,,,,,,,
